Pillar,Solution (Sales Play),Product,Tier 1 Profiles Count,Tier 2 Profiles Count,Total Tier 1 & 2 Profiles,Capacity Status (DRP vs Workloads)
Application Modernization,"Migrate, Modernize and Build",Apigee API Management,,,,⚪ No Active Demand
Application Modernization,"Migrate, Modernize and Build",Cloud Run,1,1,2,🟢 Ready (2 profiles)
Application Modernization,"Migrate, Modernize and Build",Google Kubernetes Engine,1,4,5,🟡 Constrained (5 DRP / 11 wkls)
Artificial Intelligence,Agentic Workplace Transformation,Gemini Enterprise,,3,3,🟡 Constrained (3 DRP / 4 wkls)
Artificial Intelligence,Gemini Enterprise for Customer Experience,GECX - Agent Assist,,,,⚪ No Active Demand
Artificial Intelligence,Gemini Enterprise for Customer Experience,GECX - CCaaS,,,,⚪ No Active Demand
Artificial Intelligence,Gemini Enterprise for Customer Experience,GECX - CX Agent Studio,,,,🔴 Gap (0 DRP / 2 wkls)
Artificial Intelligence,Gemini Enterprise for Customer Experience,GECX - CX Insights,,,,⚪ No Active Demand
Artificial Intelligence,Gemini Enterprise for Customer Experience,Gemini Enterprise Agent Platform,,5,5,🟢 Ready (5 DRP / 2 wkls)
Artificial Intelligence,Leverage Generative Media in your Business,Gemini Enterprise Agent Platform,,5,5,🟢 Ready (5 profiles)
Artificial Intelligence,Scale AI Apps and Agents,AI Applications,,1,1,🟢 Ready (1 DRP / 1 wkls)
Artificial Intelligence,Scale AI Apps and Agents,Gemini Enterprise Agent Platform,,5,5,🟢 Ready (5 profiles)
Artificial Intelligence,Your Business. Your Models.,Gemini Enterprise Agent Platform,,5,5,🟢 Ready (5 profiles)
Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",BigQuery,1,7,8,🟢 Ready (8 DRP / 4 wkls)
Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",Dataflow,3,3,6,🟢 Ready (6 profiles)
Data & Analytics,The AI Ready Data Cloud,BigQuery,1,7,8,🟢 Ready (8 profiles)
Data & Analytics,The AI Ready Data Cloud,Dataflow,3,3,6,🟢 Ready (6 profiles)
Data & Analytics,The AI Ready Data Cloud,Dataproc,,,,⚪ No Active Demand
Data & Analytics,The AI Ready Data Cloud,Looker,,1,1,🟢 Ready (1 profiles)
Databases,"Migrate, Modernize, and Build with Data Cloud",AlloyDB for PostgreSQL,,,,🔴 Gap (0 DRP / 7 wkls)
Databases,"Migrate, Modernize, and Build with Data Cloud",Cloud SQL,5,1,6,🟢 Ready (6 DRP / 1 wkls)
Databases,"Migrate, Modernize, and Build with Data Cloud",Spanner,1,3,4,🟢 Ready (4 profiles)
Databases,The AI Ready Data Cloud,AlloyDB for PostgreSQL,,,,⚪ No Active Demand
Databases,The AI Ready Data Cloud,Cloud SQL,5,1,6,🟢 Ready (6 profiles)
Databases,The AI Ready Data Cloud,Spanner,1,3,4,🟢 Ready (4 profiles)
Infrastructure Modernization,Enterprise Platform of Choice: Oracle,Oracle,,3,3,🟢 Ready (3 profiles)
Infrastructure Modernization,Enterprise Platform of Choice: SAP,SAP on Google Cloud,,,,⚪ No Active Demand
Infrastructure Modernization,Enterprise Platform of Choice: VMware,Google Cloud VMware Engine,3,4,7,🟢 Ready (7 profiles)
Infrastructure Modernization,"Migrate, Modernize and Build",Google Cloud Networking,8,6,14,🟢 Ready (14 DRP / 1 wkls)
Infrastructure Modernization,"Migrate, Modernize and Build",Google Compute Engine,10,4,14,🟢 Ready (14 DRP / 4 wkls)
Infrastructure Modernization,Sovereignty,Google Distributed Cloud,,,,⚪ No Active Demand
Security,Agentic Defense with Google Security,Google Threat Intelligence,,,,⚪ No Active Demand
Security,Agentic Defense with Google Security,Security Command Center,3,3,6,🟢 Ready (6 DRP / 1 wkls)
Security,Agentic Defense with Google Security,Security Operations,2,1,3,🟢 Ready (3 profiles)
Security,Secure Innovation with Google Cloud,Cloud Security,8,2,10,🟢 Ready (10 DRP / 1 wkls)
Workspace,Agentic Workplace Transformation,Workspace,,2,2,🟢 Ready (2 profiles)
